scope,server,iter,event,test_id,suite_id,process_lifetime_ms,shutdown_latency_ms,signaled_with,killed_by_timeout,pid
test,rf_mcp_substitute,4,acquire,s1-t1,s1,0.000,0.000,,0,3311515
test,rf_mcp_substitute,4,release_test,s1-t1,,6.380,1.213,SIGTERM,0,3311515
test,rf_mcp_substitute,4,acquire,s1-t1,s1,0.000,0.000,,0,3311520
test,rf_mcp_substitute,4,release_test,s1-t1,,6.454,1.215,SIGTERM,0,3311520
test,rf_mcp_substitute,4,acquire,s1-t1,s1,0.000,0.000,,0,3311517
test,rf_mcp_substitute,4,release_test,s1-t1,,8.575,2.940,SIGTERM,0,3311517
test,rf_mcp_substitute,4,acquire,s1-t1,s1,0.000,0.000,,0,3311516
test,rf_mcp_substitute,4,release_test,s1-t1,,3.470,6.278,SIGTERM,0,3311516
test,rf_mcp_substitute,4,acquire,s1-t1,s1,0.000,0.000,,0,3311522
test,rf_mcp_substitute,4,release_test,s1-t1,,6.886,1.442,SIGTERM,0,3311522
process,slow_server,2,acquire,s1-t1,s1,0.000,0.000,,0,3311742
process,slow_server,2,release_test,s1-t1,,6.716,1.224,SIGTERM,0,3311742
process,slow_server,2,acquire,s1-t1,s1,0.000,0.000,,0,3311745
process,slow_server,2,release_test,s1-t1,,4.263,1.331,SIGTERM,0,3311745
process,slow_server,2,acquire,s1-t1,s1,0.000,0.000,,0,3311743
process,slow_server,2,release_test,s1-t1,,7.296,1.204,SIGTERM,0,3311743
test,slow_server,1,acquire,s1-t1,s1,0.000,0.000,,0,3312129
test,slow_server,1,release_test,s1-t1,,9.992,1.187,SIGTERM,0,3312129
test,slow_server,1,acquire,s1-t1,s1,0.000,0.000,,0,3312125
test,slow_server,1,release_test,s1-t1,,3.042,1.195,SIGTERM,0,3312125
test,slow_server,1,acquire,s1-t1,s1,0.000,0.000,,0,3312124
test,slow_server,1,release_test,s1-t1,,6.720,3.945,SIGTERM,0,3312124
test,slow_server,1,acquire,s1-t1,s1,0.000,0.000,,0,3312126
test,slow_server,1,release_test,s1-t1,,10.215,1.233,SIGTERM,0,3312126
test,slow_server,1,acquire,s1-s1-t1,s1-s1,0.000,0.000,,0,3312127
test,slow_server,1,acquire,s1-s1-t2,s1-s1,0.000,0.000,,0,3312127
test,slow_server,1,acquire,s1-s1-t3,s1-s1,0.000,0.000,,0,3312127
test,slow_server,1,acquire,s1-s1-t4,s1-s1,0.000,0.000,,0,3312127
test,slow_server,1,shutdown_all,,,25.679,8.107,SIGTERM,0,3312127
test,slow_server,1,acquire,s1-s1-t1,s1-s1,0.000,0.000,,0,3312131
test,slow_server,1,acquire,s1-s1-t2,s1-s1,0.000,0.000,,0,3312131
test,slow_server,1,acquire,s1-s1-t3,s1-s1,0.000,0.000,,0,3312131
test,slow_server,1,acquire,s1-s1-t4,s1-s1,0.000,0.000,,0,3312131
test,slow_server,1,shutdown_all,,,8.471,1.146,SIGTERM,0,3312131
test,slow_server,1,acquire,s1-s1-t1,s1-s1,0.000,0.000,,0,3312128
test,slow_server,1,acquire,s1-s1-t2,s1-s1,0.000,0.000,,0,3312128
test,slow_server,1,acquire,s1-s1-t3,s1-s1,0.000,0.000,,0,3312128
test,slow_server,1,acquire,s1-s1-t4,s1-s1,0.000,0.000,,0,3312128
test,slow_server,1,shutdown_all,,,38.291,3.326,SIGTERM,0,3312128
test,slow_server,1,acquire,s1-s1-t1,s1-s1,0.000,0.000,,0,3312130
test,slow_server,1,acquire,s1-s1-t2,s1-s1,0.000,0.000,,0,3312130
test,slow_server,1,acquire,s1-s1-t3,s1-s1,0.000,0.000,,0,3312130
test,slow_server,1,acquire,s1-s1-t4,s1-s1,0.000,0.000,,0,3312130
test,slow_server,1,shutdown_all,,,17.317,1.964,SIGTERM,0,3312130
process,rf_mcp_substitute,4,acquire,s1-s1-t1,s1-s1,0.000,0.000,,0,3312363
process,rf_mcp_substitute,4,acquire,s1-s1-t2,s1-s1,0.000,0.000,,0,3312363
process,rf_mcp_substitute,4,acquire,s1-s1-t3,s1-s1,0.000,0.000,,0,3312363
process,rf_mcp_substitute,4,acquire,s1-s1-t4,s1-s1,0.000,0.000,,0,3312363
process,rf_mcp_substitute,4,shutdown_all,,,31.654,5.409,SIGTERM,0,3312363
process,rf_mcp_substitute,4,acquire,s1-s1-t1,s1-s1,0.000,0.000,,0,3312365
process,rf_mcp_substitute,4,acquire,s1-s1-t2,s1-s1,0.000,0.000,,0,3312365
process,rf_mcp_substitute,4,acquire,s1-s1-t3,s1-s1,0.000,0.000,,0,3312365
process,rf_mcp_substitute,4,acquire,s1-s1-t4,s1-s1,0.000,0.000,,0,3312365
process,rf_mcp_substitute,4,shutdown_all,,,63.432,8.411,SIGTERM,0,3312365
process,rf_mcp_substitute,4,acquire,s1-s1-t1,s1-s1,0.000,0.000,,0,3312364
process,rf_mcp_substitute,4,acquire,s1-s1-t2,s1-s1,0.000,0.000,,0,3312364
process,rf_mcp_substitute,4,acquire,s1-s1-t3,s1-s1,0.000,0.000,,0,3312364
process,rf_mcp_substitute,4,acquire,s1-s1-t4,s1-s1,0.000,0.000,,0,3312364
process,rf_mcp_substitute,4,shutdown_all,,,31.598,6.201,SIGTERM,0,3312364
process,rf_mcp_substitute,4,acquire,s1-s1-t1,s1-s1,0.000,0.000,,0,3312362
process,rf_mcp_substitute,4,acquire,s1-s1-t2,s1-s1,0.000,0.000,,0,3312362
process,rf_mcp_substitute,4,acquire,s1-s1-t3,s1-s1,0.000,0.000,,0,3312362
process,rf_mcp_substitute,4,acquire,s1-s1-t4,s1-s1,0.000,0.000,,0,3312362
process,rf_mcp_substitute,4,shutdown_all,,,31.222,3.722,SIGTERM,0,3312362
process,rf_mcp_substitute,4,acquire,s1-t1,s1,0.000,0.000,,0,3312367
process,rf_mcp_substitute,4,release_test,s1-t1,,13.409,3.641,SIGTERM,0,3312367
process,rf_mcp_substitute,4,acquire,s1-t1,s1,0.000,0.000,,0,3312373
process,rf_mcp_substitute,4,release_test,s1-t1,,4.774,1.212,SIGTERM,0,3312373
process,rf_mcp_substitute,4,acquire,s1-t1,s1,0.000,0.000,,0,3312372
process,rf_mcp_substitute,4,release_test,s1-t1,,5.897,1.469,SIGTERM,0,3312372
process,rf_mcp_substitute,4,acquire,s1-t1,s1,0.000,0.000,,0,3312366
process,rf_mcp_substitute,4,release_test,s1-t1,,7.630,5.222,SIGTERM,0,3312366
process,rf_mcp_substitute,4,acquire,s1-t1,s1,0.000,0.000,,0,3312371
process,rf_mcp_substitute,4,release_test,s1-t1,,3.228,1.219,SIGTERM,0,3312371
process,rf_mcp_substitute,4,acquire,s1-t1,s1,0.000,0.000,,0,3312368
process,rf_mcp_substitute,4,release_test,s1-t1,,10.702,7.892,SIGTERM,0,3312368
process,rf_mcp_substitute,4,acquire,s1-t1,s1,0.000,0.000,,0,3312369
process,rf_mcp_substitute,4,release_test,s1-t1,,3.537,1.230,SIGTERM,0,3312369
process,rf_mcp_substitute,4,acquire,s1-t1,s1,0.000,0.000,,0,3312370
process,rf_mcp_substitute,4,release_test,s1-t1,,3.080,1.197,SIGTERM,0,3312370
process,rf_mcp_substitute,5,acquire,s1-s1-t1,s1-s1,0.000,0.000,,0,3312534
process,rf_mcp_substitute,5,acquire,s1-s1-t2,s1-s1,0.000,0.000,,0,3312534
process,rf_mcp_substitute,5,acquire,s1-s1-t3,s1-s1,0.000,0.000,,0,3312534
process,rf_mcp_substitute,5,acquire,s1-s1-t4,s1-s1,0.000,0.000,,0,3312534
process,rf_mcp_substitute,5,shutdown_all,,,11.979,1.183,SIGTERM,0,3312534
process,rf_mcp_substitute,5,acquire,s1-s1-t1,s1-s1,0.000,0.000,,0,3312533
process,rf_mcp_substitute,5,acquire,s1-s1-t2,s1-s1,0.000,0.000,,0,3312533
process,rf_mcp_substitute,5,acquire,s1-s1-t3,s1-s1,0.000,0.000,,0,3312533
process,rf_mcp_substitute,5,acquire,s1-s1-t4,s1-s1,0.000,0.000,,0,3312533
process,rf_mcp_substitute,5,shutdown_all,,,12.671,1.182,SIGTERM,0,3312533
process,rf_mcp_substitute,5,acquire,s1-s1-t1,s1-s1,0.000,0.000,,0,3312535
process,rf_mcp_substitute,5,acquire,s1-s1-t2,s1-s1,0.000,0.000,,0,3312535
process,rf_mcp_substitute,5,acquire,s1-s1-t3,s1-s1,0.000,0.000,,0,3312535
process,rf_mcp_substitute,5,acquire,s1-s1-t4,s1-s1,0.000,0.000,,0,3312535
process,rf_mcp_substitute,5,shutdown_all,,,13.039,1.195,SIGTERM,0,3312535
process,rf_mcp_substitute,5,acquire,s1-s1-t1,s1-s1,0.000,0.000,,0,3312536
process,rf_mcp_substitute,5,acquire,s1-s1-t2,s1-s1,0.000,0.000,,0,3312536
process,rf_mcp_substitute,5,acquire,s1-s1-t3,s1-s1,0.000,0.000,,0,3312536
process,rf_mcp_substitute,5,acquire,s1-s1-t4,s1-s1,0.000,0.000,,0,3312536
process,rf_mcp_substitute,5,shutdown_all,,,13.589,1.199,SIGTERM,0,3312536
process,slow_server,1,acquire,s1-s1-t1,s1-s1,0.000,0.000,,0,3312667
process,slow_server,1,acquire,s1-s1-t2,s1-s1,0.000,0.000,,0,3312667
process,slow_server,1,acquire,s1-s1-t3,s1-s1,0.000,0.000,,0,3312667
process,slow_server,1,acquire,s1-s1-t4,s1-s1,0.000,0.000,,0,3312667
process,slow_server,1,shutdown_all,,,15.364,1.212,SIGTERM,0,3312667
process,slow_server,1,acquire,s1-s1-t1,s1-s1,0.000,0.000,,0,3312670
process,slow_server,1,acquire,s1-s1-t2,s1-s1,0.000,0.000,,0,3312670
process,slow_server,1,acquire,s1-s1-t3,s1-s1,0.000,0.000,,0,3312670
process,slow_server,1,acquire,s1-s1-t4,s1-s1,0.000,0.000,,0,3312670
process,slow_server,1,shutdown_all,,,17.762,1.237,SIGTERM,0,3312670
process,slow_server,1,acquire,s1-s1-t1,s1-s1,0.000,0.000,,0,3312668
process,slow_server,1,acquire,s1-s1-t2,s1-s1,0.000,0.000,,0,3312668
process,slow_server,1,acquire,s1-s1-t3,s1-s1,0.000,0.000,,0,3312668
process,slow_server,1,acquire,s1-s1-t4,s1-s1,0.000,0.000,,0,3312668
process,slow_server,1,shutdown_all,,,16.206,1.193,SIGTERM,0,3312668
process,slow_server,1,acquire,s1-s1-t1,s1-s1,0.000,0.000,,0,3312669
process,slow_server,1,acquire,s1-s1-t2,s1-s1,0.000,0.000,,0,3312669
process,slow_server,1,acquire,s1-s1-t3,s1-s1,0.000,0.000,,0,3312669
process,slow_server,1,acquire,s1-s1-t4,s1-s1,0.000,0.000,,0,3312669
process,slow_server,1,shutdown_all,,,12.262,3.301,SIGTERM,0,3312669
test,slow_server,3,acquire,s1-t1,s1,0.000,0.000,,0,3312834
test,slow_server,3,release_test,s1-t1,,6.619,1.368,SIGTERM,0,3312834
test,slow_server,3,acquire,s1-t1,s1,0.000,0.000,,0,3312832
test,slow_server,3,release_test,s1-t1,,3.326,1.202,SIGTERM,0,3312832
test,slow_server,3,acquire,s1-t1,s1,0.000,0.000,,0,3312831
test,slow_server,3,release_test,s1-t1,,3.700,1.198,SIGTERM,0,3312831
test,slow_server,3,acquire,s1-t1,s1,0.000,0.000,,0,3312833
test,slow_server,3,release_test,s1-t1,,3.528,1.200,SIGTERM,0,3312833
test,slow_server,4,acquire,s1-t1,s1,0.000,0.000,,0,3313012
test,slow_server,4,release_test,s1-t1,,7.097,3.878,SIGTERM,0,3313012
test,slow_server,4,acquire,s1-t1,s1,0.000,0.000,,0,3313010
test,slow_server,4,release_test,s1-t1,,6.359,6.381,SIGTERM,0,3313010
test,slow_server,4,acquire,s1-t1,s1,0.000,0.000,,0,3313015
test,slow_server,4,release_test,s1-t1,,6.837,3.113,SIGTERM,0,3313015
test,slow_server,4,acquire,s1-t1,s1,0.000,0.000,,0,3313013
test,slow_server,4,release_test,s1-t1,,6.779,6.229,SIGTERM,0,3313013
test,slow_server,4,acquire,s1-t1,s1,0.000,0.000,,0,3313014
test,slow_server,4,release_test,s1-t1,,7.014,1.211,SIGTERM,0,3313014
test,slow_server,4,acquire,s1-t1,s1,0.000,0.000,,0,3313008
test,slow_server,4,release_test,s1-t1,,9.516,1.196,SIGTERM,0,3313008
test,slow_server,4,acquire,s1-t1,s1,0.000,0.000,,0,3313011
test,slow_server,4,release_test,s1-t1,,6.616,1.237,SIGTERM,0,3313011
test,slow_server,4,acquire,s1-t1,s1,0.000,0.000,,0,3313009
test,slow_server,4,release_test,s1-t1,,5.366,9.538,SIGTERM,0,3313009
test,slow_server,5,acquire,s1-t1,s1,0.000,0.000,,0,3313229
test,slow_server,5,release_test,s1-t1,,9.704,7.432,SIGTERM,0,3313229
test,slow_server,5,acquire,s1-t1,s1,0.000,0.000,,0,3313235
test,slow_server,5,release_test,s1-t1,,2.915,1.187,SIGTERM,0,3313235
test,slow_server,5,acquire,s1-t1,s1,0.000,0.000,,0,3313230
test,slow_server,5,release_test,s1-t1,,6.606,1.215,SIGTERM,0,3313230
test,slow_server,5,acquire,s1-t1,s1,0.000,0.000,,0,3313236
test,slow_server,5,release_test,s1-t1,,3.038,1.201,SIGTERM,0,3313236
test,slow_server,5,acquire,s1-t1,s1,0.000,0.000,,0,3313231
test,slow_server,5,release_test,s1-t1,,6.893,5.722,SIGTERM,0,3313231
test,slow_server,5,acquire,s1-t1,s1,0.000,0.000,,0,3313234
test,slow_server,5,release_test,s1-t1,,3.346,1.221,SIGTERM,0,3313234
test,slow_server,5,acquire,s1-t1,s1,0.000,0.000,,0,3313233
test,slow_server,5,release_test,s1-t1,,6.469,4.550,SIGTERM,0,3313233
test,slow_server,5,acquire,s1-t1,s1,0.000,0.000,,0,3313232
test,slow_server,5,release_test,s1-t1,,7.832,1.225,SIGTERM,0,3313232
test,slow_server,5,acquire,s1-t1,s1,0.000,0.000,,0,3313297
test,slow_server,5,release_test,s1-t1,,6.894,3.450,SIGTERM,0,3313297
test,slow_server,5,acquire,s1-t1,s1,0.000,0.000,,0,3313323
test,slow_server,5,release_test,s1-t1,,4.464,4.314,SIGTERM,0,3313323
test,slow_server,5,acquire,s1-t1,s1,0.000,0.000,,0,3313325
test,slow_server,5,release_test,s1-t1,,15.599,1.388,SIGTERM,0,3313325
test,slow_server,5,acquire,s1-t1,s1,0.000,0.000,,0,3313319
test,slow_server,5,release_test,s1-t1,,8.582,3.861,SIGTERM,0,3313319
test,slow_server,5,acquire,s1-t1,s1,0.000,0.000,,0,3313324
test,slow_server,5,release_test,s1-t1,,7.904,6.941,SIGTERM,0,3313324
test,slow_server,5,acquire,s1-t1,s1,0.000,0.000,,0,3313326
test,slow_server,5,release_test,s1-t1,,3.298,1.267,SIGTERM,0,3313326
test,slow_server,5,acquire,s1-t1,s1,0.000,0.000,,0,3313327
test,slow_server,5,release_test,s1-t1,,3.209,1.199,SIGTERM,0,3313327
test,slow_server,5,acquire,s1-t1,s1,0.000,0.000,,0,3313328
